Ano,SEXO,Director_1,Trabajo
1999,M,Finanzas,Trabajó de Director
1999,F,Posgrados,Trabajó de Director
1999,M,Comercial,Trabajó de Director
1999,M,Comercial,Trabajó de Director
2000,M,Proyectos y Asesoria,Trabajó de Director
2000,M,Innovación,Trabajó de Director
2000,F,Gestión de Calidad,Trabajó de Director
2000,M,Gestión y planeación,Trabajó de Director
2000,F,Corporativo,Trabajó de Director
2001,F,Proyectos y Asesoria,Trabajó de Director
2001,F,Comercial,Trabajó de Director
2001,M,Operativo,Trabajó de Director
2001,M,Gestión de Calidad,Trabajó de Director
2001,F,Gestión de Calidad,Trabajó de Director
2001,F,Finanzas,Trabajó de Director
2001,F,Negocios,Trabajó de Director
2001,F,Software,Trabajó de Director
2001,M,Operativo,Trabajó de Director
2001,M,Gestión Integral,Trabajó de Director
2001,F,Logística ,Trabajó de Director
2002,F,Finanzas,Trabajó de Director
2002,F,Gestión de Calidad,Trabajó de Director
2002,F,Proyectos y Asesoria,Trabajó de Director
2002,M,HSE,Trabajó de Director
2002,F,Finanzas,Trabajó de Director
2002,M,Ventas,Trabajó de Director
2002,F,Gestión de Calidad,Trabajó de Director
2002,M,Portafolios de Inversión,Trabajó de Director
2002,M,Gestión de Proyectos,Trabajó de Director
2002,F,Salud Ocupacional,Trabajó de Director
2003,F,Operaciones y Estrategia,Trabajó de Director
2003,F,Servicios y Alianza,Trabajó de Director
2003,M,Ejecutivo,Trabajó de Director
2003,M,Comercial,Trabajó de Director
2003,M,Argos,Trabajó de Director
2003,F,Gestión de Proyectos,Trabajó de Director
2004,M,Costos y Presupuesto,Trabajó de Director
2004,M,Gestión de Calidad,Trabajó de Director
2004,M,Logística ,Trabajó de Director
2004,M,Producción,Trabajó de Director
2004,M,Cadena de Abastecimiento,Trabajó de Director
2004,F,Operaciones y Estrategia,Trabajó de Director
2004,F,Administrativo y Financiero,Trabajó de Director
2004,M,Finanzas,Trabajó de Director
2005,F,Seguridad Industrial,Trabajó de Director
2005,F,Servicio al Cliente,Trabajó de Director
2005,M,CEO,Trabajó de Director
2005,M,Planta y Producción,Trabajó de Director
2005,M,Consultoria,Trabajó de Director
2005,M,Gestión de Proyectos,Trabajó de Director
2005,M,Planeación y Control de Operaciones,Trabajó de Director
2005,M,Garantía de Calidad,Trabajó de Director
2005,M,Mantenimiento,Trabajó de Director
2005,M,Sistemas Integrados de Gestión,Trabajó de Director
2005,F,Gestión de Calidad,Trabajó de Director
2005,M,Logística ,Trabajó de Director
2005,M,Olimpica,Trabajó de Director
2006,F,Planificación,Trabajó de Director
2007,M,Operaciones y Estrategia,Trabajó de Director
2007,M,Gestión de Proyectos,Trabajó de Director
2007,M,Tecnico de Acueducto y Saneamiento Básico,Trabajó de Director
2007,M,Planta y Producción,Trabajó de Director
2007,M,Finanzas,Trabajó de Director
2009,F,Delegado,Trabajó de Director
1999,M,Proyectos y Asesoria,Trabajó de Director
2003,M,Especialización Alta Gerencia,Trabajó de Director
2004,M,Investigación,Trabajó de Director
2001,M,Corporativo,Trabajó de Director
2004,M,Administrativo y Financiero,Trabajó de Director
2004,M,Economico,Trabajó de Director
1998,M,Administrativo y Financiero,Trabajó de Director
2006,F,Administrativo y Financiero,Trabajó de Director
2005,M,CEO,Trabajó de Director
