Ano,SEXO,Administrativo_1,Trabajo
1999,M,Asistente,Trabajó en área administrativa
2002,M,NO,No trabajó en área administrativa
2005,M,Jefe de Salud,Trabajó en área administrativa
1998,M,Asistente Ejecutivo,Trabajó en área administrativa
1998,M,NO,No trabajó en área administrativa
1998,F,Analisis y Gestión de la Infomación,Trabajó en área administrativa
1999,M,NO,No trabajó en área administrativa
1999,M,Administrador,Trabajó en área administrativa
1999,F,NO,No trabajó en área administrativa
1999,M,Gerente,Trabajó en área administrativa
1999,M,Analista,Trabajó en área administrativa
1999,M,Asesor Ecónomico,Trabajó en área administrativa
1999,F,Analista Financiero,Trabajó en área administrativa
1999,F,Analista Comecial,Trabajó en área administrativa
2000,M,Analista Comecial,Trabajó en área administrativa
2000,M,NO,No trabajó en área administrativa
2000,M,Administrador,Trabajó en área administrativa
2000,F,Administrador,Trabajó en área administrativa
2000,M,Administrador,Trabajó en área administrativa
2000,M,Asistente en Dirección Estrategica,Trabajó en área administrativa
2000,F,Asistente,Trabajó en área administrativa
2000,F,NO,No trabajó en área administrativa
2001,F,NO,No trabajó en área administrativa
2001,M,Diseñador de Curriculum,Trabajó en área administrativa
2001,F,NO,No trabajó en área administrativa
2001,F,Gerente,Trabajó en área administrativa
2001,M,Administrador,Trabajó en área administrativa
2001,M,Gerente,Trabajó en área administrativa
2001,M,Rector,Trabajó en área administrativa
2001,M,NO,No trabajó en área administrativa
2001,F,Scrum Master,Trabajó en área administrativa
2001,M,Administrador,Trabajó en área administrativa
2001,M,Salud Ocupacional,Trabajó en área administrativa
2001,F,Auxiliar Administrativo,Trabajó en área administrativa
2001,M,NO,No trabajó en área administrativa
2001,M,Vendedor E-Comerce,Trabajó en área administrativa
2001,M,NO,No trabajó en área administrativa
2001,M,Asesor Administrativo,Trabajó en área administrativa
2001,M,Axuliar de Compras,Trabajó en área administrativa
2001,M,Gerente Comercial,Trabajó en área administrativa
2001,F,Gerente  Nacional Call Center,Trabajó en área administrativa
2001,F,Gerente Administrativo,Trabajó en área administrativa
2001,F,NO,No trabajó en área administrativa
2001,F,Administrador,Trabajó en área administrativa
2001,F,Vendedor E-Comerce,Trabajó en área administrativa
2001,M,Administrador,Trabajó en área administrativa
2001,F,Administrador,Trabajó en área administrativa
2001,F,Asistente,Trabajó en área administrativa
2001,M,Aministrador,Trabajó en área administrativa
2001,M,Gerente,Trabajó en área administrativa
2001,F,NO,No trabajó en área administrativa
2001,F,Axuliar de Compras,Trabajó en área administrativa
2001,F,NO,No trabajó en área administrativa
2001,M,Gerente de Operaciones,Trabajó en área administrativa
2002,F,Finanzas,Trabajó en área administrativa
2002,F,NO,No trabajó en área administrativa
2002,F,NO,No trabajó en área administrativa
2002,M,NO,No trabajó en área administrativa
2002,M,Jefe de Operaciones,Trabajó en área administrativa
2002,M,Residente Administrativo,Trabajó en área administrativa
2002,F,NO,No trabajó en área administrativa
2002,M,NO,No trabajó en área administrativa
2002,M,NO,No trabajó en área administrativa
2002,F,Jefe de Ventas,Trabajó en área administrativa
2002,M,Administrador,Trabajó en área administrativa
2002,M,Administrador,Trabajó en área administrativa
2002,M,Administrador,Trabajó en área administrativa
2002,M,Asistente,Trabajó en área administrativa
2002,M,NO,No trabajó en área administrativa
2002,M,NO,No trabajó en área administrativa
2002,M,Secretario General De Gbno,Trabajó en área administrativa
2002,F,NO,No trabajó en área administrativa
2002,M,NO,No trabajó en área administrativa
2002,M,Asistente,Trabajó en área administrativa
2002,M,Gerente,Trabajó en área administrativa
2002,F,NO,No trabajó en área administrativa
2002,F,Salud Ocupacional,Trabajó en área administrativa
2003,F,Practicas Empresariales,Trabajó en área administrativa
2003,F,Axuliar de Productividad,Trabajó en área administrativa
2003,F,Gerente de Operaciones,Trabajó en área administrativa
2003,M,Analista de Datos,Trabajó en área administrativa
2003,M,Analista Financiero,Trabajó en área administrativa
2003,F,Gestión Ambiental,Trabajó en área administrativa
2003,F,Estudiante de Practicas,Trabajó en área administrativa
2003,F,Jefe de Ventas,Trabajó en área administrativa
2003,M,Asesor Externo,Trabajó en área administrativa
2003,M,Auxiliar de Logística,Trabajó en área administrativa
2003,F,Ejecutivo de Cuentas,Trabajó en área administrativa
2003,F,Analista de Planeación de Operaciones,Trabajó en área administrativa
2003,M,Programador Logistico,Trabajó en área administrativa
2003,M,Ejecutivo Comercial,Trabajó en área administrativa
2003,F,Jefe de Montaje y Vulcanización,Trabajó en área administrativa
2003,F,Asesor de Operaciones,Trabajó en área administrativa
2003,F,Gestión de Calidad,Trabajó en área administrativa
2003,M,NO,No trabajó en área administrativa
2003,F,Asistente de Calidad,Trabajó en área administrativa
2003,F,Asesor de Calidad,Trabajó en área administrativa
2003,F,Analista de Cuentas,Trabajó en área administrativa
2004,M,Asesor de Empresas,Trabajó en área administrativa
2004,M,Jefe de Compras,Trabajó en área administrativa
2004,M,Jefe de Planta,Trabajó en área administrativa
2004,M,Auxiliar Administrativo,Trabajó en área administrativa
2004,M,Asesor de Calidad,Trabajó en área administrativa
2004,M,Asistente de Auditoria,Trabajó en área administrativa
2004,M,Analista de Planeación de Operaciones,Trabajó en área administrativa
2004,M,Planeador de Patio,Trabajó en área administrativa
2004,M,Jefe de Compras,Trabajó en área administrativa
2004,M,Gestión de Calidad,Trabajó en área administrativa
2004,M,NO,No trabajó en área administrativa
2004,F,NO,No trabajó en área administrativa
2004,M,Auxiliar de Almacen,Trabajó en área administrativa
2004,M,Gerente Comercial,Trabajó en área administrativa
2004,F,Estudiante de Practicas,Trabajó en área administrativa
2004,M,Planeación de Operaciones,Trabajó en área administrativa
2004,F,Servicio al Cliente,Trabajó en área administrativa
2004,F,Planeación de Operaciones,Trabajó en área administrativa
2004,F,Analista de Datos,Trabajó en área administrativa
2004,M,Cajero Auxiliar,Trabajó en área administrativa
2005,F,NO,No trabajó en área administrativa
2005,F,Analista Comecial,Trabajó en área administrativa
2005,F,Auxiliar Administrativo,Trabajó en área administrativa
2005,M,Analista de Capacitación Empresarial,Trabajó en área administrativa
2005,M,NO,No trabajó en área administrativa
2005,M,NO,No trabajó en área administrativa
2005,F,Asistente Logistico,Trabajó en área administrativa
2005,M,Jefe de Producción,Trabajó en área administrativa
2005,M,Inspector de Calidad,Trabajó en área administrativa
2005,M,Estudiante de Practicas,Trabajó en área administrativa
2005,F,Gestión de Calidad,Trabajó en área administrativa
2005,M,Analista de Procesos,Trabajó en área administrativa
2005,M,Servicio al Cliente,Trabajó en área administrativa
2005,M,Planeación de Operaciones,Trabajó en área administrativa
2005,M,Subdirector de Calidad,Trabajó en área administrativa
2005,M,Desarrollador,Trabajó en área administrativa
2005,M,NO,No trabajó en área administrativa
2005,M,Asistente de Gestión de Calidad,Trabajó en área administrativa
2005,F,Estudiante de Practicas,Trabajó en área administrativa
2005,F,Gestión de Calidad,Trabajó en área administrativa
2005,M,Analista de SSG,Trabajó en área administrativa
2005,F,Gestión de Calidad,Trabajó en área administrativa
2005,M,NO,No trabajó en área administrativa
2005,M,NO,No trabajó en área administrativa
2005,M,Jefe Metodos y Procedimientos,Trabajó en área administrativa
2005,M,Jefe de Logistica,Trabajó en área administrativa
2005,M,Analista SST,Trabajó en área administrativa
2005,M,Jefe de Producción,Trabajó en área administrativa
2005,F,Asistente SST,Trabajó en área administrativa
2006,F,Jefe Aseguramiento Operaciones ,Trabajó en área administrativa
2006,F,Analisis y Gestión de la Infomación,Trabajó en área administrativa
2006,M,Agente de Servicio al Cliente,Trabajó en área administrativa
2006,M,Gerente Financiero,Trabajó en área administrativa
2006,F,Gerente Administrativo,Trabajó en área administrativa
2006,M,Analista Salud Ocupacional,Trabajó en área administrativa
2006,F,Jefe de Control de Calidad,Trabajó en área administrativa
2006,F,NO,No trabajó en área administrativa
2006,M,NO,No trabajó en área administrativa
2006,M,ICFES,Trabajó en área administrativa
2006,F,Servicio al Cliente,Trabajó en área administrativa
2006,F,Analista de Facturación,Trabajó en área administrativa
2006,F,SISO,Trabajó en área administrativa
2006,F,NO,No trabajó en área administrativa
2007,M,Jefe de Logistica,Trabajó en área administrativa
2007,M,Gestión de Calidad,Trabajó en área administrativa
2007,M,Planificador de Mantenimiento,Trabajó en área administrativa
2007,M,Jefe de Operaciones,Trabajó en área administrativa
2007,F,Exteditor de Compras,Trabajó en área administrativa
2007,M,Jefe de Servicio,Trabajó en área administrativa
2007,M,NO,No trabajó en área administrativa
2007,M,Analista de Servicios,Trabajó en área administrativa
2007,F,NO,No trabajó en área administrativa
2007,M,Auxiliar de Compras,Trabajó en área administrativa
2007,M,Gerente,Trabajó en área administrativa
2007,M,Asistente Logistico,Trabajó en área administrativa
2007,M,Jefe de Planta,Trabajó en área administrativa
2007,M,Cajero Auxiliar,Trabajó en área administrativa
2007,F,NO,No trabajó en área administrativa
2007,M,Auxiliar de Gestión de Calidad,Trabajó en área administrativa
2007,M,Asistente de Importaciones,Trabajó en área administrativa
2007,M,Jefe de Logistica,Trabajó en área administrativa
2008,M,ICFES,Trabajó en área administrativa
2009,F,Asistente de Producción,Trabajó en área administrativa
1999,M,Scrum Master,Trabajó en área administrativa
2003,M,Jefe de Control de Calidad,Trabajó en área administrativa
2006,M,NO,No trabajó en área administrativa
2006,M,NO,No trabajó en área administrativa
2001,M,NO,No trabajó en área administrativa
2004,F,Asesor Técnico,Trabajó en área administrativa
2004,M,Gestor de Tecnología,Trabajó en área administrativa
2004,M,Gestor Educativo,Trabajó en área administrativa
2001,F,Asistente,Trabajó en área administrativa
1999,M,NO,No trabajó en área administrativa
2001,M,NO,No trabajó en área administrativa
2002,M,Asistente Administrativo,Trabajó en área administrativa
2000,F,NO,No trabajó en área administrativa
2004,M,NO,No trabajó en área administrativa
2004,M,Monitor y Evaluador en Salud y Protección,Trabajó en área administrativa
2000,M,NO,No trabajó en área administrativa
1998,M,Asistente de Superintendencia,Trabajó en área administrativa
2006,F,Asistente de Superintendencia,Trabajó en área administrativa
2005,M,Asistente Academico,Trabajó en área administrativa
